Quote,bookTitle,Author
How To Be Yourself, Ellen Hendriksen    
"The Reveal. Ultimately, social anxiety is the fear that whatever we’re trying to hide will be revealed to everyone. Put another way, social anxiety is about concealment. It’s less about fear and more about shame. Whatever your fear, it boils down to one thing: I am not good enough. And furthermore, everyone will see.","How To Be Yourself","Ellen Hendriksen"
"Researchers call it post-event processing. it’s a postmortem review of the bloopers reel of your social performance. And it’s this focus on the lowlights that keeps social anxiety going strong over years and decades. To sum up, if the Inner Critic’s cherry-picking of past lowlights happens before a big moment it’s called anticipatory processing. If it’s after the fact, it’s post-event processing. Either way, it’s hyper-focusing on stuff gone wrong.","How To Be Yourself","Ellen Hendriksen"
"There is nothing either good or bad, but thinking makes it so.","How To Be Yourself","Ellen Hendriksen"
"The Inner Critic sends you a strong feeling, and that feeling feels like a fact. Because we feel inadequate, it must be true. Because we feel like a loser, we must be one. If your Critic is more of a feeling, in order to specify, specify, specify, try this: ask what that lurch in the stomach would say if it could talk. What would the urge to skip out on the wedding reception tell you if it was translated into words? Think of yourself as a cartoon character and ask what the thought bubble coming out of your head would say. Once the thought is verbal, it has a form, which means we can challenge it.","How To Be Yourself","Ellen Hendriksen"
"So get specific. What exactly is the worst that can happen? What particular stupid thing do I expect I will do? Who, precisely, do I expect is going to judge me? As the defense attorney says, name names. Everyone will hate me turns into My boss will hate this particular presentation. Everyone will think I’m a freak turns into The five or six people I talk to at the party might notice my hands shaking and think something is wrong with me.","How To Be Yourself","Ellen Hendriksen"
"Sometimes we get lucky and specify, specify, specify is enough to quell the anxiety right away. Once our specific fear is solidified, we recognize it for what it is. When Something embarrassing will happen is specified into I will go fetal and mute in front of the whole staff meeting, we realize it’s about as realistic as Barbie’s high-heeled feet.","How To Be Yourself","Ellen Hendriksen"
"To sum up, when your Inner Critic kicks the anxiety into gear, first ask, What’s the worst that can happen? Answer as precisely as possible; remember: specify, specify, specify. Then ask: How bad would that really be? What are the odds? How could I cope?","How To Be Yourself","Ellen Hendriksen"
"Embrace is simply giving yourself the same support, warmth, and kindness you would get from a good friend or that you would offer a good friend. It’s a little help when you need it the most.","How To Be Yourself","Ellen Hendriksen"
"In short, self-compassion is the opposite of self-judgment. Self-judgment looks for what is vulnerable inside us and pounces, whereas self-compassion looks for what is human and meets it with understanding, graciousness, appreciation, and encouragement.","How To Be Yourself","Ellen Hendriksen"
"Compassion has three components: mindfulness, self-kindness, and an awareness that we are all in this together.","How To Be Yourself","Ellen Hendriksen"
"Mindfulness is not your actual thoughts or experience. Rather, it is a method for watching your thoughts and experience. It is the realization: Oh, I’m thinking X, I’m hearing Y, I notice Z. What’s more, you can choose where you direct your attention. You can watch your thoughts, your breath, or the snaps, crackles, and pops of your own body. Just as you watch the image projected on the movie screen, you watch your thoughts or sensations float and dart across the field of your consciousness.","How To Be Yourself","Ellen Hendriksen"
"You probably feel some embarrassment, guilt, or shame. Now shift things a little and think to yourself, I’m having the thought that I really screwed that one up big-time. It’s subtle, but different. With the second example, there is distance, there is awareness.","How To Be Yourself","Ellen Hendriksen"
"Just as the movie isn’t reality, neither are our thoughts.","How To Be Yourself","Ellen Hendriksen"
"We shift from I am not good enough, to, I hold a belief that I’m not good enough. And that difference is everything. In one astonishing moment of clarity, we shift from absolute truth to merely a thought. And thoughts? They can be changed. Or, to stick with the spirit of mindfulness, simply watched.","How To Be Yourself","Ellen Hendriksen"
"When we’re tempted to bail on the neighborhood cookout because we’re worried we’ll be awkward and the neighbors will think we’re weird, we can ask the Inner Critic how it’s trying to help. The answer? Almost always, it will be, I’m trying to keep you safe. Like a neurotic mother hen, the Inner Critic will say, If you don’t go, they can’t hurt you. Just sit this one out and you guarantee you won’t be ridiculed. Better safe than sorry, so why don’t you just stay home this time? But using self-compassion, you might then tell yourself, Oh, sweetheart, I know you’re scared. You don’t know the neighbors very well and this is intimidating. You’re not alone—everyone feels awkward and weird sometimes and everyone was new to the neighborhood at one point. You know from experience that just showing up is the worst part. It gets better from there. You’ve done hard things before, and I know you can do this, too, even while you’re feeling nervous. The point is to be kind and supportive and, most important, brave.","How To Be Yourself","Ellen Hendriksen"
"Self-compassion knows we all have our stuff, so why bother pretending we don’t? Self-compassion sees our inadequacies and failures and not only is cool with them but also provides a safe and caring place for them. Self-compassion loves the package deal that is you, or me. When you talk to yourself with compassion, you invert the Golden Rule—rather than treating others as you would like to be treated, you also treat yourself as well as you would treat others.","How To Be Yourself","Ellen Hendriksen"
"It’s hard to talk kindly to ourselves when we are feeling our most vulnerable or when we are at our worst. It’s especially hard when we are afraid. But this is when we need it the most.","How To Be Yourself","Ellen Hendriksen"
"Woo, I’m having the thought that whoever answers the phone is going to yell at me for trying to give him my money. That would never happen.","How To Be Yourself","Ellen Hendriksen"
